"","point_tp","point_fp","bcr"
"sin_coeff=6",0.1,0,0.55
"sin_coeff=6.5",0.09,0,0.545
"sin_coeff=7",0.24,0,0.62
"sin_coeff=7.5",0.28,0,0.64
"sin_coeff=8",0.55,0,0.775
"sin_coeff=8.5",0.56,0,0.78
"sin_coeff=9",0.82,0,0.91
"sin_coeff=9.5",0.77,0,0.885
"sin_coeff=10",0.94,0,0.97
