"","point_tp","point_fp","bcr"
"sin_coeff=6",0.166666666666667,0,0.583333333333333
"sin_coeff=6.5",0.0866666666666667,0,0.543333333333333
"sin_coeff=7",0.213333333333333,0,0.606666666666667
"sin_coeff=7.5",0.28,0,0.64
"sin_coeff=8",0.56,0,0.78
"sin_coeff=8.5",0.733333333333333,0,0.866666666666667
"sin_coeff=9",0.753333333333333,0,0.876666666666667
"sin_coeff=9.5",0.793333333333333,0,0.896666666666667
"sin_coeff=10",0.906666666666667,0,0.953333333333333
