"","point_tp","point_fp","bcr"
"sin_coeff=6",0.14,0,0.57
"sin_coeff=6.5",0.16,0,0.58
"sin_coeff=7",0.3,0,0.65
"sin_coeff=7.5",0.54,0.00105263157894737,0.769473684210526
"sin_coeff=8",0.58,0,0.79
"sin_coeff=8.5",0.7,0,0.85
"sin_coeff=9",0.76,0,0.88
"sin_coeff=9.5",0.9,0,0.95
"sin_coeff=10",0.98,0,0.99
