"","point_tp","point_fp","bcr"
"zero_len=2",0.18,0.00444444444444444,0.587777777777778
"zero_len=3",0.29,0.00666666666666667,0.641666666666667
"zero_len=4",0.49,0.0122222222222222,0.738888888888889
"zero_len=5",0.5,0.00444444444444444,0.747777777777778
"zero_len=6",0.68,0.00777777777777778,0.836111111111111
"zero_len=7",0.74,0.00777777777777778,0.866111111111111
"zero_len=8",0.89,0.0166666666666667,0.936666666666667
"zero_len=9",0.93,0.0122222222222222,0.958888888888889
"zero_len=10",0.94,0.00555555555555556,0.967222222222222
