"","point_tp","point_fp","bcr"
"sin_coeff=6",0.62,0.0136842105263158,0.803157894736842
"sin_coeff=6.5",0.84,0.00842105263157895,0.91578947368421
"sin_coeff=7",0.8,0.00736842105263158,0.896315789473684
"sin_coeff=7.5",0.72,0.00421052631578947,0.857894736842105
"sin_coeff=8",0.76,0.00315789473684211,0.878421052631579
"sin_coeff=8.5",0.78,0.00842105263157895,0.885789473684211
"sin_coeff=9",0.86,0.00631578947368421,0.926842105263158
"sin_coeff=9.5",0.86,0.00421052631578947,0.927894736842105
"sin_coeff=10",0.86,0.00736842105263158,0.926315789473684
