"","point_tp","point_fp","bcr"
"sin_coeff=6",0.64,0.00444444444444444,0.817777777777778
"sin_coeff=6.5",0.68,0.00777777777777778,0.836111111111111
"sin_coeff=7",0.76,0.0133333333333333,0.873333333333333
"sin_coeff=7.5",0.69,0.00666666666666667,0.841666666666667
"sin_coeff=8",0.76,0.0144444444444444,0.872777777777778
"sin_coeff=8.5",0.73,0.00333333333333333,0.863333333333333
"sin_coeff=9",0.84,0.0188888888888889,0.910555555555556
"sin_coeff=9.5",0.78,0.0122222222222222,0.883888888888889
"sin_coeff=10",0.86,0.00777777777777778,0.926111111111111
