"","point_tp","point_fp","bcr"
"zero_len=2",0.16,0.00666666666666667,0.576666666666667
"zero_len=3",0.35,0.00777777777777778,0.671111111111111
"zero_len=4",0.55,0.00222222222222222,0.773888888888889
"zero_len=5",0.62,0.00777777777777778,0.806111111111111
"zero_len=6",0.73,0.0133333333333333,0.858333333333333
"zero_len=7",0.9,0.0122222222222222,0.943888888888889
"zero_len=8",0.96,0.00777777777777778,0.976111111111111
"zero_len=9",0.98,0.0144444444444444,0.982777777777778
"zero_len=10",0.95,0.00666666666666667,0.971666666666667
