"","point_tp","point_fp","bcr"
"zero_len=2",0.0866666666666667,0.00352941176470588,0.54156862745098
"zero_len=3",0.273333333333333,0.00588235294117647,0.633725490196078
"zero_len=4",0.553333333333333,0.00705882352941176,0.773137254901961
"zero_len=5",0.62,0.0105882352941176,0.804705882352941
"zero_len=6",0.833333333333333,0.00823529411764706,0.912549019607843
"zero_len=7",0.8,0.0141176470588235,0.892941176470588
"zero_len=8",0.92,0.00823529411764706,0.955882352941177
"zero_len=9",0.973333333333333,0.0105882352941176,0.981372549019608
"zero_len=10",0.953333333333333,0.0129411764705882,0.970196078431373
