"","point_tp","point_fp","bcr"
"q=6",0.526666666666667,0.00470588235294118,0.760980392156863
"q=6.5",0.66,0.00470588235294118,0.827647058823529
"q=7",0.666666666666667,0.00470588235294118,0.830980392156863
"q=7.5",0.826666666666667,0.00941176470588235,0.908627450980392
"q=8",0.806666666666667,0.00588235294117647,0.900392156862745
"q=8.5",0.933333333333333,0.0141176470588235,0.959607843137255
"q=9",0.953333333333333,0.0129411764705882,0.970196078431373
"q=9.5",0.986666666666667,0.00588235294117647,0.990392156862745
"q=10",0.993333333333333,0.0129411764705882,0.990196078431373
