"","point_tp","point_fp","bcr"
"sin_coeff=6",0.713333333333333,0.00705882352941176,0.853137254901961
"sin_coeff=6.5",0.7,0.0105882352941176,0.844705882352941
"sin_coeff=7",0.693333333333333,0.0105882352941176,0.841372549019608
"sin_coeff=7.5",0.713333333333333,0.0105882352941176,0.851372549019608
"sin_coeff=8",0.726666666666667,0.00705882352941176,0.859803921568627
"sin_coeff=8.5",0.753333333333333,0.00588235294117647,0.873725490196078
"sin_coeff=9",0.786666666666667,0.00823529411764706,0.88921568627451
"sin_coeff=9.5",0.82,0.0129411764705882,0.903529411764706
"sin_coeff=10",0.833333333333333,0.00588235294117647,0.913725490196078
