"","point_tp","point_fp","bcr"
"zero_len=2",0.146666666666667,0.00235294117647059,0.572156862745098
"zero_len=3",0.393333333333333,0.00823529411764706,0.692549019607843
"zero_len=4",0.52,0.00941176470588235,0.755294117647059
"zero_len=5",0.62,0.0105882352941176,0.804705882352941
"zero_len=6",0.653333333333333,0.00705882352941176,0.823137254901961
"zero_len=7",0.753333333333333,0.0176470588235294,0.867843137254902
"zero_len=8",0.893333333333333,0.00470588235294118,0.944313725490196
"zero_len=9",0.88,0.00823529411764706,0.935882352941176
"zero_len=10",0.953333333333333,0.0129411764705882,0.970196078431373
