"","point_tp","point_fp","bcr"
"sin_coeff=6",0.67,0.00777777777777778,0.831111111111111
"sin_coeff=6.5",0.64,0.00666666666666667,0.816666666666667
"sin_coeff=7",0.79,0.00555555555555556,0.892222222222222
"sin_coeff=7.5",0.67,0.0111111111111111,0.829444444444444
"sin_coeff=8",0.78,0.00888888888888889,0.885555555555556
"sin_coeff=8.5",0.83,0.0111111111111111,0.909444444444444
"sin_coeff=9",0.81,0.0122222222222222,0.898888888888889
"sin_coeff=9.5",0.8,0.0111111111111111,0.894444444444444
"sin_coeff=10",0.84,0.0122222222222222,0.913888888888889
