"","point_tp","point_fp","bcr"
"sin_coeff=6",0.7,0.0168421052631579,0.841578947368421
"sin_coeff=6.5",0.66,0.00315789473684211,0.828421052631579
"sin_coeff=7",0.78,0.00631578947368421,0.886842105263158
"sin_coeff=7.5",0.78,0.00736842105263158,0.886315789473684
"sin_coeff=8",0.7,0.0105263157894737,0.844736842105263
"sin_coeff=8.5",0.76,0.00315789473684211,0.878421052631579
"sin_coeff=9",0.86,0.0105263157894737,0.924736842105263
"sin_coeff=9.5",0.9,0.00947368421052632,0.945263157894737
"sin_coeff=10",0.88,0.00736842105263158,0.936315789473684
