"","point_tp","point_fp","bcr"
"zero_len=2",0.08,0.00526315789473684,0.537368421052632
"zero_len=3",0.46,0.00526315789473684,0.727368421052632
"zero_len=4",0.4,0.00736842105263158,0.696315789473684
"zero_len=5",0.74,0.00315789473684211,0.868421052631579
"zero_len=6",0.72,0.00631578947368421,0.856842105263158
"zero_len=7",0.84,0.00631578947368421,0.916842105263158
"zero_len=8",0.82,0.00526315789473684,0.907368421052632
"zero_len=9",0.94,0.00947368421052631,0.965263157894737
"zero_len=10",0.9,0.0105263157894737,0.944736842105263
