"","point_tp","point_fp","bcr"
"sin_coeff=6",0.62,0.00823529411764706,0.805882352941176
"sin_coeff=6.5",0.693333333333333,0.00941176470588235,0.841960784313726
"sin_coeff=7",0.666666666666667,0.00705882352941176,0.829803921568627
"sin_coeff=7.5",0.78,0.0105882352941176,0.884705882352941
"sin_coeff=8",0.806666666666667,0.00941176470588235,0.898627450980392
"sin_coeff=8.5",0.746666666666667,0.00823529411764706,0.86921568627451
"sin_coeff=9",0.78,0.00823529411764706,0.885882352941176
"sin_coeff=9.5",0.806666666666667,0.00823529411764706,0.89921568627451
"sin_coeff=10",0.78,0.00352941176470588,0.888235294117647
