"","point_tp","point_fp","bcr"
"zero_len=2",0.34,0.00947368421052631,0.665263157894737
"zero_len=3",0.24,0.00736842105263158,0.616315789473684
"zero_len=4",0.62,0.0178947368421053,0.801052631578947
"zero_len=5",0.52,0.00947368421052631,0.755263157894737
"zero_len=6",0.86,0.0115789473684211,0.924210526315789
"zero_len=7",0.7,0.0105263157894737,0.844736842105263
"zero_len=8",0.96,0.00947368421052631,0.975263157894737
"zero_len=9",0.88,0.00842105263157895,0.935789473684211
"zero_len=10",0.9,0.0115789473684211,0.94421052631579
