"","point_tp","point_fp","bcr"
"q=6",0.07,0,0.535
"q=6.5",0.14,0,0.57
"q=7",0.22,0,0.61
"q=7.5",0.24,0,0.62
"q=8",0.16,0,0.58
"q=8.5",0.42,0,0.71
"q=9",0.48,0.00111111111111111,0.739444444444444
"q=9.5",0.56,0,0.78
"q=10",0.58,0,0.79
