"","point_tp","point_fp","bcr"
"sin_coeff=6",0.26,0,0.63
"sin_coeff=6.5",0.16,0,0.58
"sin_coeff=7",0.22,0,0.61
"sin_coeff=7.5",0.36,0,0.68
"sin_coeff=8",0.52,0,0.76
"sin_coeff=8.5",0.62,0,0.81
"sin_coeff=9",0.8,0,0.9
"sin_coeff=9.5",0.88,0,0.94
"sin_coeff=10",0.86,0,0.93
